,glottocode,name,isocodes,latitude,longitude
5325,guri1249,Gurindji Kriol,gjr,0.0,0.0
5343,guti1235,Gutian,0,0.0,0.0
5352,guya1250,Guyambal,0,0.0,0.0
5353,guya1253,Guyana Sign Language,0,0.0,0.0
5407,hach1239,Hachijo,0,0.0,0.0
5416,hadr1235,Hadrami,xhd,0.0,0.0
5471,hamb1239,Hamba NW of Nachingwea south of Mbemkuru River,0,0.0,0.0
5505,hara1272,Harappan,0,0.0,0.0
5543,haun1238,Hauna Trade Langauge,0,0.0,0.0
5611,hezh1244,Hezhou,0,0.0,0.0
5619,hier1240,Hieroglyphic Luwian,hlu,0.0,0.0
5656,hitt1242,Hittite,hit,0.0,0.0
5678,hmon1338,Hmong Njua (Retired),blu,0.0,0.0
5697,hoia1235,Hoia Hoia,hhi,0.0,0.0
5713,homs1234,Homshetsma,0,0.0,0.0
5719,hong1241,Hong Kong-Macau Sign Language,hks,0.0,0.0
5730,hora1238,Horace Holden's Pidgin Tobi,0,0.0,0.0
5745,hott1234,Hottentot Dutch,0,0.0,0.0
5748,hoxa1234,Hoxa,0,0.0,0.0
5749,hoya1235,Hoyahoya,hhy,0.0,0.0
5776,huas1255,"Huastec, San Luís Potosí",hva,0.0,0.0
5777,huas1256,"Huastec, Southeastern",hsf,0.0,0.0
5821,hung1280,Hungu,0,0.0,0.0
5826,riog1239,Hunsrik,hrx,0.0,0.0
5899,idab1234,Idabaez,0,0.0,0.0
5967,ikar1243,Ikaranggal,ikr,0.0,0.0
6015,illy1234,Illyrian,xil,0.0,0.0
6030,imba1237,Imbabura,0,0.0,0.0
6047,imun1234,Imunga Trade Language,0,0.0,0.0
6095,inte1259,International Sign,ils,0.0,0.0
6098,inui1247,Inuit Sign Language,iks,0.0,0.0
6103,ioit1234,Ioi Trade Jargon,0,0.0,0.0
6112,ipek1240,Ipeka-Tapuia,paj,0.0,0.0
6127,iraq1246,Iraqi Sign Language,0,0.0,0.0
6174,isla1277,Island Takic,0,0.0,0.0
6226,itut1240,Itutang,itu,0.0,0.0
6252,ixil1252,"Ixil, Chajul",ixj,0.0,0.0
6253,ixil1253,"Ixil, Nebaj",ixi,0.0,0.0
6272,izer1243,Izere (Retired),fiz,0.0,0.0
6301,jaka1246,"Jakalteko, Western",jai,0.0,0.0
6315,jama1263,Jamaican Sign Language,jls,0.0,0.0
6349,jarg1234,Jargon Loucheux,0,0.0,0.0
6352,jaru1257,Jaruára,jap,0.0,0.0
6367,javi1237,Javindo,jvd,0.0,0.0
6389,jeju1234,Jejueo,jje,0.0,0.0
6402,jeni1237,Jenipapo-Kanindé,0,0.0,0.0
6417,jhan1234,Jhankot Sign Language,jhs,0.0,0.0
6433,jiar1242,Jiarong,0,0.0,0.0
6486,joek1234,Joeka-Oajana Pidgin,0,0.0,0.0
6488,jofo1235,Jofotek-Bromnya,jbr,0.0,0.0
6501,jord1239,Jordanian Bengali Pidgin Arabic,0,0.0,0.0
6519,jude1268,Judeo-Hamadani,0,0.0,0.0
6533,julu1237,Julud,0,0.0,0.0
6536,juma1248,Jumano,0,0.0,0.0
6538,juml1239,Jumla Sign Language,jus,0.0,0.0
6631,kaer1234,Kaera,jka,0.0,0.0
6639,kafr1234,Kafr Qasem Sign Language,0,0.0,0.0
6657,kaha1240,Kahayan,xah,0.0,0.0
6660,kahu1242,Kahumamahon Saluan,slb,0.0,0.0
6679,kain1277,Kainuu Saami,0,0.0,0.0
6696,kaja1257,Kajana Sign Language,0,0.0,0.0
6720,kala1401,Kalaamaya,lkm,0.0,0.0
6735,kala1255,Kalanadi,wkl,0.0,0.0
6905,kant1247,Kantarure,0,0.0,0.0
6936,kaqc1277,"Kaqchikel, Akatenango Southwestern",ckk,0.0,0.0
6937,kaqc1273,"Kaqchikel, Eastern",cke,0.0,0.0
6938,kaqc1275,"Kaqchikel, Northern",ckc,0.0,0.0
6939,kaqc1276,"Kaqchikel, Santa María de Jesús",cki,0.0,0.0
6940,kaqc1278,"Kaqchikel, Santo Domingo Xenacoj",ckj,0.0,0.0
6941,kaqc1272,"Kaqchikel, South Central",ckd,0.0,0.0
6942,kaqc1274,"Kaqchikel, Southern",ckf,0.0,0.0
6943,kaqc1279,"Kaqchikel, Western",ckw,0.0,0.0
6944,kaqc1271,"Kaqchikel, Yepocapa Southwestern",cbm,0.0,0.0
6945,kara1506,Kara,0,0.0,0.0
7035,karr1236,Karruwali,0,0.0,0.0
7064,kass1244,Kassite,0,0.0,0.0
7085,kath1253,Kathlamet,0,0.0,0.0
7092,kati1278,Katingan,kxg,0.0,0.0
7128,kawa1290,Kawarrang-Ogh Undjan,0,0.0,0.0
7129,kawa1291,Kawaway,0,0.0,0.0
7132,kawi1241,Kawi,kaw,0.0,0.0
7145,kaya1334,Kayan River Kenyah,knh,0.0,0.0
7158,kayu1244,Kayu Agung,vky,0.0,0.0
7271,kere1299,Keresan Pueblo Indian Sign Language,0,0.0,0.0
7324,kham1281,Khamnigan Mongol,0,0.0,0.0
7371,khia1237,Khiamniungan Naga (Retired),nky,0.0,0.0
7395,khor1274,Khorasan Arabic,0,0.0,0.0
7403,khot1251,Khotanese,kho,0.0,0.0
7411,khua1244,Khuai,0,0.0,0.0
7427,khwa1238,Khwarezmian,xco,0.0,0.0
7437,kiau1234,Kiautschou Pidgin German,0,0.0,0.0
7446,kich1264,"K'iche', Cunén",cun,0.0,0.0
7447,kich1265,"K'iche', Eastern",quu,0.0,0.0
7448,kich1267,"K'iche', Joyabaj",quj,0.0,0.0
7450,kich1263,"K'iche', San Andrés",qxi,0.0,0.0
7451,kich1266,"K'iche', West Central",qut,0.0,0.0
7463,kika1240,KiKAR,0,0.0,0.0
7488,kina1252,Kinabalian,cbw,0.0,0.0
7620,kogu1234,Koguryo,zkg,0.0,0.0
7630,koho1245,Kohoroxitari,kob,0.0,0.0
7642,koke1241,Kokenop Mandobo,0,0.0,0.0
7646,koko1273,Koko Babangk,okg,0.0,0.0
7648,koko1272,Koko Dhawa,0,0.0,0.0
7658,kolb1241,Kol (Bangladesh),ekl,0.0,0.0
7716,komt1237,Komta,0,0.0,0.0
7766,kont1246,Kontanáwa,0,0.0,0.0
7791,kora1298,Korapun-Bromley,0,0.0,0.0
7860,kota1280,Kotava,avk,0.0,0.0
7937,krui1237,Krui,krq,0.0,0.0
8009,kuku1286,Kukura,0,0.0,0.0
8051,kumb1267,Kumbaran,wkb,0.0,0.0
8076,kund1257,Kundal Shahi,shd,0.0,0.0
8082,kund1253,Kunduvadi,wku,0.0,0.0
8086,kunf1238,Kunfal,xuf,0.0,0.0
8124,kurd1260,Kurdish Sign Language,0,0.0,0.0
8133,kurm1245,Kurmin Dangana,0,0.0,0.0
8182,kuuk1243,Kuuk-Yak,uky,0.0,0.0
8185,kuva1244,Kuvale,olu,0.0,0.0
8191,kuwa1252,Kuwaiti Sign Language,0,0.0,0.0
8259,kwin1242,Kwinsu,kuc,0.0,0.0
8261,kwis1235,Kwisi,0,0.0,0.0
8264,kwom1264,Kwoma-Manambu Pidgin,0,0.0,0.0
8316,lach1251,Lachirioag Zapotec,ztc,0.0,0.0
8321,lada1245,Ladakhi Sign,0,0.0,0.0
8349,lahu1255,Lahu Shi (Retired),kds,0.0,0.0
8448,land1262,Land Dayak (Retired),dyk,0.0,0.0
8459,lang1333,Lang'e,yne,0.0,0.0
8473,lang1334,Languedocien,lnc,0.0,0.0
8546,laut1236,Lautu,clt,0.0,0.0
8559,lawi1235,Lawi,0,0.0,0.0
8581,lebu1234,Lebu Wolof,0,0.0,0.0
8603,lein1237,Leinong Naga,lzn,0.0,0.0
8623,lema1244,Lematang,lmt,0.0,0.0
8636,lemn1237,Lemnian,xle,0.0,0.0
8664,lepo1240,Lepontic,xlp,0.0,0.0
8704,lian1258,Lianghe Achang,0,0.0,0.0
8707,lian1256,Lianmin Yao,0,0.0,0.0
8725,ligh1234,Light Warlpiri,0,0.0,0.0
8763,limo1249,Limonese Creole,qlm,0.0,0.0
8766,limo1250,Limousin,lms,0.0,0.0
8782,ling1267,Lingua Franca Nova,lfn,0.0,0.0
8784,lint1237,Lintang,lnt,0.0,0.0
8809,lite1248,Literary Chinese,lzh,0.0,0.0
8958,long1375,Long Phuri Naga,lpn,0.0,0.0
9006,loup1243,Loup A,xlo,0.0,0.0
9040,lowe1441,Lower Pokomo,poj,0.0,0.0
9042,lowe1402,Lower Riverland,0,0.0,0.0
9047,lowe1436,Lower Southern Aranda,axl,0.0,0.0
9157,lusi1235,Lusitanian,xls,0.0,0.0
9172,luxi1238,Luxi Achang,0,0.0,0.0
9177,lyci1241,Lycian,xlc,0.0,0.0
9179,lydi1241,Lydian,xld,0.0,0.0
9211,maca1264,Macao Pidgin Portuguese,0,0.0,0.0
9232,mada1299,Madang (Malaysia),mqd,0.0,0.0
9268,maga1271,Magati,0,0.0,0.0
9272,magi1243,Magi,0,0.0,0.0
9273,magi1242,Magiana,0,0.0,0.0
9285,maha1308,Mahakam Kenyah,xkm,0.0,0.0
9293,maha1305,Maharastri Prakrit,pmh,0.0,0.0
9300,mahi1249,Mahigi,0,0.0,0.0
9396,maky1235,Makyan Naga,umn,0.0,0.0
9414,mala1457,Mala Malasar,ima,0.0,0.0
9428,mala1458,Malasar,ymr,0.0,0.0
9431,mala1534,Malaweg,0,0.0,0.0
9439,mala1546,Malay (individual language),mly,0.0,0.0
9463,mali1242,Malibu,0,0.0,0.0
9473,mali1288,Malinguat,sic,0.0,0.0
9516,mamc1234,"Mam, Central",mvc,0.0,0.0
9521,mams1234,"Mam, Southern",mms,0.0,0.0
9522,mamt1234,"Mam, Tajumulco",mpf,0.0,0.0
9523,mamt1235,"Mam, Todos Santos Cuchumatán",mvj,0.0,0.0
9606,mang1364,Mangio,0,0.0,0.0
9616,mang1422,Mangree,0,0.0,0.0
9700,mara1418,Marajo Sign Language,0,0.0,0.0
9724,mara1417,Marau Wawa,0,0.0,0.0
9731,mard1245,Mardin Sign Language,0,0.0,0.0
9769,mari1446,Maritime Polynesian Pidgin,0,0.0,0.0
9788,marr1256,Marriammu,xru,0.0,0.0
9906,maur1240,Mauritian Sign Language,lsy,0.0,0.0
